Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58724723,My Government Means to Kill Me,Rasheed Newson,"Newson, Rasheed",,"=""1250833523""","=""9781250833525""",0,4.27,Flatiron Books,Hardcover,288,2022,2022,,2022/07/09,to-read,to-read (#180),to-read,,,,0,0
57910643,Don't Cry for Me,Daniel     Black,"Black, Daniel",,"=""0369718801""","=""9780369718808""",0,4.35,Hanover Square Press,ebook,,2022,2022,,2022/07/09,to-read,to-read (#179),to-read,,,,0,0
55591342,What the Fireflies Knew,Kai Harris,"Harris, Kai",,"=""059318534X""","=""9780593185346""",0,3.86,Tiny Reparations Books,Hardcover,288,2022,2022,,2022/07/09,to-read,to-read (#178),to-read,,,,0,0
56648158,Night of the Living Rez: Stories,Morgan Talty,"Talty, Morgan",,"=""195353418X""","=""9781953534187""",0,4.10,Tin House Books,Paperback,296,2022,2022,,2022/07/09,to-read,to-read (#177),to-read,,,,0,0
55650158,Take My Hand,Dolen Perkins-Valdez,"Perkins-Valdez, Dolen",,"=""0593337697""","=""9780593337691""",0,4.42,Berkley,Hardcover,359,2022,2022,,2022/07/09,to-read,to-read (#176),to-read,,,,0,0
57846320,The School for Good Mothers,Jessamine Chan,"Chan, Jessamine",,"=""""","=""""",0,3.57,Simon & Schuster,Hardcover,336,2022,2022,,2022/07/09,to-read,to-read (#175),to-read,,,,0,0
57926137,Black Cake,Charmaine Wilkerson,"Wilkerson, Charmaine",,"=""""","=""""",0,4.16,Ballantine Books,Hardcover,385,2022,2022,,2022/07/09,to-read,to-read (#174),to-read,,,,0,0
57693233,"Last Seen Alive (Ellery Hathaway, #5)",Joanna Schaffhausen,"Schaffhausen, Joanna",,"=""1250249678""","=""9781250249678""",0,4.22,Minotaur Books,Hardcover,308,2022,2022,,2022/07/09,to-read,to-read (#173),to-read,,,,0,0
56803179,The Woman in the Library,Sulari Gentill,"Gentill, Sulari",,"=""""","=""""",0,3.55,Sourcebooks,ebook,292,2022,2022,,2022/07/09,to-read,to-read (#172),to-read,,,,0,0
58371432,The Book of Cold Cases,Simone St. James,"James, Simone St.",,"=""0440000211""","=""9780440000211""",0,3.83,Berkley,Hardcover,352,2022,2022,,2022/07/09,to-read,to-read (#172),to-read,,,,0,0
1225261,"No Time for Goodbye (No Time For Goodbye, #1)",Linwood Barclay,"Barclay, Linwood",,"=""055380555X""","=""9780553805550""",0,4.01,Bantam,Hardcover,338,2007,2007,,2022/07/09,,,read,,,,1,0
18079776,The Invention of Wings,Sue Monk Kidd,"Kidd, Sue Monk",,"=""0670024783""","=""9780670024780""",5,4.25,Viking,Hardcover,384,2014,2014,,2022/07/09,,,read,,,,1,0
15808816,A Higher Call: An Incredible True Story of Combat and Chivalry in the War-Torn Skies of World War II,Adam Makos,"Makos, Adam",Larry Alexander,"=""0425252868""","=""9780425252864""",5,4.31,Berkley,Hardcover,392,2012,2012,,2022/07/09,,,read,,,,1,0
22844188,A Good Marriage,Stephen King,"King, Stephen",Jessica Hecht,"=""""","=""""",0,3.84,Simon & Schuster Audio,Audible Audio,216,2014,2014,,2022/07/09,,,read,,,,1,0
36288143,Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily  Chang,"Chang, Emily",,"=""""","=""""",3,4.02,Portfolio,Kindle Edition,317,2018,2018,,2022/07/09,,,read,,,,1,0
36204301,"How Women Rise: Break the 12 Habits Holding You Back from Your Next Raise, Promotion, or Job",Sally Helgesen,"Helgesen, Sally",Marshall Goldsmith,"=""0316440124""","=""9780316440127""",2,4.14,Hachette Books,Hardcover,256,2018,2018,,2022/07/09,,,read,,,,1,0
18775247,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,"King, Stephen",,"=""1476754454""","=""9781476754451""",0,3.99,Scribner,Hardcover,437,2014,2014,,2022/07/09,,,read,,,,1,0
5197,A Lesson Before Dying,Ernest J. Gaines,"Gaines, Ernest J.",,"=""0375702709""","=""9780375702709""",4,3.97,Vintage,Paperback,256,1997,1993,,2022/07/09,,,read,,,,1,0
6319,The BFG,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0141311371""","=""9780141311371""",0,4.22,Puffin Books,Paperback,199,2001,1982,,2022/07/09,,,read,,,,1,0
22232,"Stargirl (Stargirl, #1)",Jerry Spinelli,"Spinelli, Jerry",,"=""0439488400""","=""9780439488402""",0,3.77,Scholastic,Paperback,186,2002,2000,,2022/07/09,,,read,,,,1,0
13536860,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,"James, E.L.",,"=""0345803507""","=""9780345803504""",0,3.84,Vintage Books,Paperback,579,2012,2012,,2022/07/09,,,read,,,,1,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, André Gide, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg, Gregorio Martínez Sierra","=""0521618746""","=""9780521618748""",0,4.03,Cambridge University Press,Paperback,289,2005,1601,,2022/07/09,,,read,,,,1,0
3685,Black Beauty,Anna Sewell,"Sewell, Anna",Gail Carson Levine,"=""0439228905""","=""9780439228909""",0,3.98,Scholastic Paperbacks,Mass Market Paperback,245,2003,1877,,2022/07/09,,,read,,,,1,0
10959,Sophie's World,Jostein Gaarder,"Gaarder, Jostein","Paulette Møller, Eglė Išganaitytė- Paulauskienė","=""1857993284""","=""9781857993288""",0,3.95,Phoenix,Paperback,403,1995,1991,,2022/07/09,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.06,Scholastic Press,Hardcover,398,2010,2010,,2022/07/09,,,read,,,,1,0
46787,Uncle Tom's Cabin,Harriet Beecher Stowe,"Stowe, Harriet Beecher",,"=""""","=""""",0,3.89,Wordsworth Classics,Paperback,438,1999,1852,,2022/07/09,,,read,,,,1,0
39280444,Speak,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""0374311250""","=""9780374311254""",5,4.04,"Farrar, Straus and Giroux (Byr)",Hardcover,224,2019,1999,,2022/07/09,,,read,,,,1,0
493456,"Extras (Uglies, #4)",Scott Westerfeld,"Westerfeld, Scott",,"=""1416951172""","=""9781416951179""",0,3.60,Simon Pulse,Hardcover,417,2007,2006,,2022/07/09,,,read,,,,1,0
24765,"Specials (Uglies, #3)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865406""","=""9780689865404""",0,3.76,Simon Pulse,Hardcover,384,2006,2006,,2022/07/09,,,read,,,,1,0
24768,"Pretties (Uglies, #2)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865392""","=""9780689865398""",0,3.84,Simon Pulse,Paperback,370,2005,2005,,2022/07/09,,,read,,,,1,0
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865384""","=""9780689865381""",0,3.85,Simon Pulse,Paperback,425,2005,2005,,2022/07/09,,,read,,,,1,0
1375,The Iliad / The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0147712556""","=""9780147712554""",0,4.06,Penguin Classics,Paperback,1556,1999,-800,,2022/07/09,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.30,Scholastic Press,Hardcover,391,2009,2009,,2022/07/09,,,read,,,,1,0
295,Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",N.C. Wyeth,"=""0753453800""","=""9780753453803""",0,3.84,Kingfisher,Hardcover,311,2001,1883,,2022/07/09,,,read,,,,1,0
7938275,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,"Collins, Suzanne","Guillaume Fournier, Pilar Ramírez Tello, Hanna Hörl, Sylke Hachmeister, Peter Klöss","=""0545265355""","=""9780545265355""",0,4.48,Scholastic Press,Hardcover,1155,2010,2008,,2022/07/09,,,read,,,,1,0
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Tormod Haugen, Per Svein Paulsen","=""""","=""""",0,4.23,HarperCollins Publishers,Paperback,206,2005,1950,,2022/07/09,,,read,,,,1,0
10365,Where the Red Fern Grows,Wilson Rawls,"Rawls, Wilson",,"=""0375806814""","=""9780375806810""",0,4.10,Yearling,Mass Market Paperback,272,2000,1961,,2022/07/09,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,2022/07/09,,,read,,,,1,0
153747,"Moby-Dick or, the Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk, William Hootkins, Rockwell Kent, Anton Lomaev","=""0142437247""","=""9780142437247""",0,3.53,Penguin Classics ,Paperback,654,2003,1851,,2022/07/09,,,read,,,,1,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann","Hilda Rosner, Zigmantas Ardickas","=""""","=""""",0,4.05,Bantam Books,Mass Market Paperback,152,1981,1922,,2022/07/09,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2022/07/09,,,read,,,,1,0
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0141301066""","=""9780141301068""",0,4.33,Puffin Books,Paperback,240,1998,1988,,2022/07/09,,,read,,,,1,0
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",0,4.13,Signet Classics,Paperback,449,2004,1868,,2022/07/09,,,read,,,,1,0
2956,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark","Guy Cardwell, E.W. Kemble, John Seelye, Walter Trier, Tom Wilson, William Little Hughes","=""0142437174""","=""9780142437179""",0,3.83,Penguin Classics,Paperback,327,2002,1884,,2022/07/09,,,read,,,,1,0
33574273,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,"=""1250153271""","=""9781250153272""",0,3.99,Square Fish,Paperback,218,2017,1962,,2022/07/09,,,read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2022/07/09,,,read,,,,1,0
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.23,Del Rey,Paperback,193,2007,1979,,2022/07/09,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.69,Penguin Books ,Paperback,182,1999,1954,,2020/09/27,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",0,4.32,"Harcourt, Inc.",Paperback,96,2000,1943,,2022/07/09,,,read,,,,1,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",Ellen Karine Berg,"=""""","=""""",0,4.22,MTV Books/Pocket Books,Paperback,213,1999,1999,,2022/07/09,,,read,,,,1,0
370493,The Giving Tree,Shel Silverstein,"Silverstein, Shel",,"=""0060256656""","=""9780060256654""",0,4.37,HarperCollins Publishers,Hardcover,64,1964,1964,,2022/07/09,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""""","=""""",0,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2020/09/27,,,read,,,,1,0
24178,Charlotte's Web,E.B. White,"White, E.B.","Garth Williams, Rosemary Wells","=""0064410935""","=""9780064410939""",0,4.19,HarperCollinsPublishers,Paperback,184,2001,1952,,2022/07/09,,,read,,,,1,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Andrew Lang, Samuel Butler, George Chapman, Bernard Knox, Philip Stanhope Worsley, William Walter Merry, Ιάκωβος Πολυλάς, Otmar Vaňorný","=""0143039954""","=""9780143039952""",0,3.79,Penguin Classics ,Paperback,541,2006,-700,,2022/07/09,,,read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""""","=""""",0,3.84,Bantam Classics,Paperback,201,1972,1915,,2022/07/09,,,read,,,,1,0
38709,"Holes (Holes, #1)",Louis Sachar,"Sachar, Louis",,"=""0439244196""","=""9780439244190""",0,3.99,Scholastic,Paperback,233,2000,1998,,2022/07/09,,,read,,,,1,0
1923820,The Holy Bible: King James Version,Anonymous,"Anonymous, Anonymous",,"=""""","=""""",0,4.42,,Hardcover,1590,2008,1611,,2022/07/09,,,read,,,,1,0
1622,A Midsummer Night's Dream,William Shakespeare,"Shakespeare, William","Paul Werstine, Alan Durband, Roma Gill, Catherine Belsey, A.R. Braunmuller, Barbara A. Mowat","=""0743477545""","=""9780743477543""",0,3.95,Simon & Schuster Paperbacks,Paperback,240,2016,1595,,2022/07/09,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,3.98,Simon & Schuster,Kindle Edition,194,2011,1953,,2022/07/09,,,read,,,,1,0
8852,Macbeth,William Shakespeare,"Shakespeare, William",,"=""0743477103""","=""9780743477109""",0,3.90,Simon & Schuster,Paperback,249,2013,1606,,2022/07/09,,,read,,,,1,0
